venue,official_submitted,official_accepted,official_rate,delta_accepts_vs_25pct,public_accepted,public_rejected,public_desk_rejected,public_withdrawn,public_accept_rate_all,public_accept_rate_post_withdrawal,three_plus_accept_vote_papers,three_plus_accept_vote_accepted,three_plus_accept_vote_rejected,three_plus_accept_vote_reject_share,three_plus_slot_load,capacity_shortfall_if_all_three_plus_accepted,three_plus_rejections_not_forced_by_capacity,accepted_papers_with_fewer_than_three_accept_votes,accepted_three_plus_slot_share,non_three_plus_accept_slot_share,sample_note,source_label,source_url
ICLR 2026,19525,5355,0.274,474,5352,8371,908,5183,0.27011204199051175,0.36579864670904244,2667,2359,308,0.11548556430446194,0.4980392156862745,0,308,2996,0.44052287581699345,0.5594771241830065,full public ICLR decision surface,ICLR 2026 retrospective,https://blog.iclr.cc/2026/03/31/a-retrospective-on-the-iclr-2026-review-process/
ICLR 2025,11565,3710,0.3208,819,3703,4911,70,2988,0.31725496915695683,0.4264163979732842,3940,3168,772,0.19593908629441625,1.0619946091644206,230,542,542,0.8539083557951482,0.14609164420485174,full public ICLR decision surface,RIKEN AIP ICLR 2025 acceptance note,https://aip.riken.jp/news/iclr2025/?lang=en
ICLR 2024,7262,2260,0.31,444,2260,3431,53,1660,0.30524041058887086,0.3934540389972145,2187,1791,396,0.18106995884773663,0.9676991150442478,0,396,469,0.7924778761061947,0.2075221238938053,full public ICLR decision surface,ICLR 2024 fact sheet,https://media.iclr.cc/Conferences/ICLR2024/ICLR2024-Fact_Sheet.pdf
ICML 2025,12107,3260,0.2693,233,3260,162,0,0,0.9526592635885447,0.9526592635885447,2824,2752,72,0.025495750708215296,0.8662576687116564,0,72,508,0.8441717791411043,0.1558282208588957,public sample / official-rate context,RIKEN AIP ICML 2025 acceptance note,https://aip.riken.jp/news/icml2025/?lang=en
NeurIPS 2025,21575,5290,0.2452,-104,5286,254,0,0,0.9541516245487365,0.9541516245487365,5204,5070,134,0.025749423520368946,0.9837429111531191,0,134,220,0.9584120982986768,0.04158790170132325,public sample / official-rate context,RIKEN AIP NeurIPS 2025 acceptance note,https://aip.riken.jp/news/neurips2025/?lang=en
AISTATS 2026,,,0.25,,587,0,0,0,1.0,1.0,0,0,0,,,,,,,,official-rate context only; public review scores unavailable,AISTATS 2026 CFP says acceptance rates tend to be around 25%,https://virtual.aistats.org/Conferences/2026/CallForPapers
RLC 2025,295,115,0.39,41,115,0,0,0,1.0,1.0,0,0,0,,0.0,0,0,115,0.0,1.0,official-rate context only; public review scores unavailable,RIKEN AIP RLC 2025 acceptance note,https://aip.riken.jp/news/rlc2025/?lang=en
AAAI 2025,12957,3032,0.234,-207,0,0,0,0,0.0,,0,0,0,,0.0,0,0,3032,0.0,1.0,official-rate context only; public review scores unavailable,RIKEN AIP AAAI-25 acceptance note,https://aip.riken.jp/news/202412_aaai25/
