venue,public_papers,papers_with_reviews,analyzable_accept_reject,accepts,rejects,decision_counts,mean_reviews,weighted_score_pointbiserial_r,weighted_score_pointbiserial_p,weighted_score_spearman_r,weighted_score_spearman_p,weighted_score_auc,threshold_accuracy,majority_accuracy,weighted_accept_to_reject,weighted_reject_to_accept,majority_accept_to_reject,majority_reject_to_accept,all_accept_to_reject,all_reject_to_accept
ICLR 2026,19814,19474,13731,5352,8379,"{""accept"": 5352, ""desk_reject"": 908, ""reject"": 8379, ""withdrawn"": 5175}",3.8996431432524945,0.6293882940068227,0.0,0.6579534032681467,0.0,0.8893408627448042,0.7081785740295681,0.866233518058475,61,3946,481,919,12,73
ICLR 2025,11672,11520,8614,3703,4911,"{""accept"": 3703, ""desk_reject"": 70, ""reject"": 4911, ""withdrawn"": 2988}",4.0508474576271185,0.7067048550871529,0.0,0.7610334086230519,0.0,0.9436760455470046,0.8804272115161366,0.8648206247442368,338,692,894,97,70,3
ICLR 2024,7404,7262,5691,2260,3431,"{""accept"": 2260, ""desk_reject"": 53, ""reject"": 3431, ""withdrawn"": 1660}",3.8682129678439643,0.6970466888227886,0.0,0.7433305384946356,0.0,0.9384757791402182,0.8678615357582147,0.8659412851570519,269,483,582,71,74,6
ICML 2025,3422,3422,3422,3260,162,"{""accept"": 3260, ""reject"": 162}",3.8287551139684397,0.29840356298583737,2.5049439525098675e-71,0.23219868314981015,4.040548662090366e-43,0.8121184579262289,0.831677381648159,0.9518413597733711,58,518,83,70,32,0
NeurIPS 2025,5540,5540,5540,5286,254,"{""accept"": 5286, ""reject"": 254}",4.037725631768953,0.36897163848208436,2.9808160501944453e-178,0.238798374226793,1.1024284562870892e-72,0.8291248461989924,0.8759927797833935,0.9712203326481031,97,590,142,12,61,1
AISTATS 2026,588,0,0,0,0,"{""accept"": 588}",,,,,,,,,0,0,0,0,0,0
RLC 2025,115,0,0,0,0,"{""accept"": 115}",,,,,,,,,0,0,0,0,0,0
AAAI 2025,1,0,0,0,0,"{""no_public_submissions"": 1}",,,,,,,,,0,0,0,0,0,0
