source_venue,target_venue,learned_cutoff,source_balanced_accuracy,target_accuracy,target_accept_recall,target_reject_recall,target_borderline_accept_to_reject,target_rows
ICLR 2024,ICLR 2025,5.684659090909091,0.8686787953665563,0.8700951938704434,0.9044018363489063,0.8442272449602932,470,8614
ICLR 2024,ICLR 2026,5.684659090909091,0.8686787953665563,0.7297238213218684,0.32772795216741407,0.986739935491578,67,13723
ICLR 2025,ICLR 2024,5.735087719298246,0.8762123233469338,0.8643472149007204,0.8544247787610619,0.8708831244535121,220,5691
ICLR 2025,ICLR 2026,5.735087719298246,0.8762123233469338,0.7241856736865117,0.30979073243647237,0.9891291363039063,59,13723
ICLR 2026,ICLR 2024,4.681159420289855,0.8058845096397468,0.6638552099806713,0.9929203539823008,0.44709997085397846,111,5691
ICLR 2026,ICLR 2025,4.681159420289855,0.8058845096397468,0.6720455073136754,0.992708614636781,0.43025860313581754,165,8614
